City,nYears,YearMin,YearMax,Slope_TopNDVI,Slope_BotNDVI,Slope_GapNDVI,Slope_TopLST,Slope_BotLST,Slope_GapLST,Delta_GapNDVI,Delta_GapLST,Span_Decades,NDVI_Balance,NDVI_Mechanism,LME_DeltaSlope_NDVI,LME_CI_L_NDVI,LME_CI_U_NDVI,LME_DeltaSlope_LST,LME_CI_L_LST,LME_CI_U_LST
GrandJunction,5,1990,2023,-0.0216001185458377,0.00317081138040045,-0.0247709299262381,1.87668097997893,1.40149051633299,-0.475190463645945,-0.0817440687565859,-1.56812853003162,3.3,-0.0184293071654373,erosion (top-tail decline),-0.0404158560409305,-0.0460140379918326,-0.0348176740900284,0.395962925270859,0.200852373113266,0.591073477428451
GreenBay,5,1990,2023,0.00192080611169655,0.0209177300667369,-0.0189969239550404,0.785044889357222,0.26844533719705,-0.516599552160172,-0.0626898490516333,-1.70477852212857,3.3,0.0189969239550404,uplift (bottom-tail greening),0.00825727810705539,0.00265909615615328,0.0138554600579575,0.124445187510078,-0.0706653646475147,0.31955573966767
HartfordCT,5,1990,2023,-0.00164724992473278,-0.00643647903181291,0.00478922910708013,1.02655631240905,1.01672242711627,-0.00983388529278484,0.0158044560533644,-0.03245182146619,3.3,0.00478922910708013,uplift (bottom-tail greening),-0.0239704588253434,-0.0295686407762455,-0.0183722768744413,0.163856227231162,-0.0312543249264304,0.358966779388755
HoustonTX,5,1990,2023,-0.024161918223051,-0.0154968983920235,-0.00866501983102756,3.33052985589175,3.2642362806237,-0.0662935752680518,-0.028594565442391,-0.218768798384571,3.3,-0.00866501983102756,erosion (top-tail decline),-0.0271752744063424,-0.0327734563572445,-0.0215770924554403,0.255237606159807,0.0601270540022144,0.450348158317399
IdahoFallsID,5,1990,2023,0.0146395021074816,0.00567623814541625,0.00896326396206535,2.30194454689147,2.05938395679663,-0.242560590094837,0.0295787710748156,-0.800449947312962,3.3,-0.00896326396206535,erosion (top-tail decline),-0.00681739864091262,-0.0124155805918147,-0.00121921669001051,0.125981909201123,-0.0691286429564697,0.321092461358715
JacksonMS,5,1990,2023,-0.00888802875206983,0.0396357556826735,-0.0485237844347434,0.857191649104321,-0.272093256059009,-1.12928490516333,-0.160128488634653,-3.72664018703899,3.3,0.0307477269306037,uplift (bottom-tail greening),-0.0237682795263133,-0.0293664614772154,-0.0181700975754112,0.383868202004523,0.188757649846931,0.578978754162116
KansasCity,5,1990,2023,-0.0260225957992218,0.0277379464128908,-0.0537605422121126,1.33533298841899,0.502813751317177,-0.832519237101811,-0.177409789299972,-2.74731348243598,3.3,0.00171535061366906,uplift (bottom-tail greening),-0.0676457515168574,-0.0732439334677595,-0.0620475695659553,0.316850821159971,0.121740269002378,0.511961373317563
LakeHavasuCityAZ,5,1990,2023,-0.0114242860906217,-0.00394222207586933,-0.00748206401475238,2.4809172813488,2.27215806111697,-0.208759220231828,-0.0246908112486829,-0.688905426765032,3.3,-0.00748206401475238,erosion (top-tail decline),-0.0475244245645541,-0.0531226065154562,-0.041926242613652,0.779923214548246,0.584812662390653,0.975033766705838
LasCrucesNM,5,1990,2023,-0.0441161617492097,-0.015220468914647,-0.0288956928345627,3.05585616438357,2.35028951527925,-0.705566649104318,-0.0953557863540568,-2.32836994204425,3.3,-0.0288956928345627,erosion (top-tail decline),-0.0432998231637974,-0.0488980051146995,-0.0377016412128953,0.552076197464737,0.356965645307144,0.747186749622329
LasVegas,5,1990,2023,-0.0258305849724856,-0.0176362188268353,-0.00819436614565035,3.06373988116146,2.8410560648636,-0.222683816297856,-0.0270414082806462,-0.734856593782926,3.3,-0.00819436614565035,erosion (top-tail decline),-0.029145158492372,-0.0347433404432741,-0.0235469765414699,0.599530211865783,0.404419659708191,0.794640764023376
